"Model","lavaan_AIC","lavaan_dAIC","WAIC","LOO","converged","dWAIC","dLOO"
"1: Flight -> rates",-377.3,0,-375.6,-375.1,TRUE,0,0
"2: Flight -> genome -> rates",-373,4.3,-370.9,-369.9,TRUE,4.7,5.2
"3: Flight -> rates & genes",-367.8,9.5,-365.5,-364.2,TRUE,10.1,10.9
"4: Flight -> genome only",-365.4,11.9,-363.5,-362.2,TRUE,12.1,12.9
"5: Flight -> rates & genome",-366.3,11,-363.9,-363,TRUE,11.7,12.1
"6: Flight -> rates; rates+genes+flight -> genome",-366.3,11,-364.1,-363.1,TRUE,11.5,12
"7: Flight -> rates; rates+genes -> genome",-367.8,9.5,-365.1,-364.2,TRUE,10.5,10.9
